ticker,name,country,exchange_suffix,degiro_venue,index_membership,is_index
A2A.MI,A2A,Italy,.MI,IDEM,FTSE MIB,False
ABB.ST,ABB Ltd,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
ABBN.SW,ABB Ltd,Switzerland,.SW,Eurex,SMI,False
ABI.BR,Anheuser-Busch InBev,Belgium,.BR,Euronext,EURO STOXX 50,False
ABN.AS,ABN AMRO,Netherlands,.AS,Euronext,AEX,False
AC.PA,Accor,France,.PA,Euronext,CAC 40,False
ACA.PA,Crédit Agricole,France,.PA,Euronext,CAC 40,False
ACS.MC,ACS,Spain,.MC,MEFF,IBEX 35,False
ACX.MC,Acerinox,Spain,.MC,MEFF,IBEX 35,False
AD.AS,Ahold Delhaize,Netherlands,.AS,Euronext,"EURO STOXX 50, AEX",False
ADDT-B.ST,Addtech B,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
ADS.DE,Adidas,Germany,.DE,Eurex,"EURO STOXX 50, DAX",False
ADYEN.AS,Adyen,Netherlands,.AS,Euronext,"EURO STOXX 50, AEX",False
AENA.MC,AENA,Spain,.MC,MEFF,IBEX 35,False
AGN.AS,Aegon,Netherlands,.AS,Euronext,AEX,False
AI.PA,Air Liquide,France,.PA,Euronext,"EURO STOXX 50, CAC 40",False
AIR.PA,Airbus,France,.PA,Euronext,"EURO STOXX 50, CAC 40, DAX",False
AKZA.AS,AkzoNobel,Netherlands,.AS,Euronext,AEX,False
ALC.SW,Alcon Inc,Switzerland,.SW,Eurex,SMI,False
ALFA.ST,Alfa Laval,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
ALV.DE,Allianz,Germany,.DE,Eurex,"EURO STOXX 50, DAX",False
AMP.MI,Amplifon,Italy,.MI,IDEM,FTSE MIB,False
AMRZ.SW,Amrize AG,Switzerland,.SW,Eurex,SMI,False
AMS.MC,Amadeus IT Group,Spain,.MC,MEFF,IBEX 35,False
ANA.MC,Acciona,Spain,.MC,MEFF,IBEX 35,False
ANE.MC,Acciona Energía,Spain,.MC,MEFF,IBEX 35,False
ARGX.BR,Argenx,Belgium,.BR,Euronext,EURO STOXX 50,False
ASM.AS,ASM International,Netherlands,.AS,Euronext,AEX,False
ASML.AS,ASML Holding,Netherlands,.AS,Euronext,"EURO STOXX 50, AEX",False
ASRNL.AS,ASR Nederland,Netherlands,.AS,Euronext,AEX,False
ASSA-B.ST,Assa Abloy B,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
ATCO-A.ST,Atlas Copco A,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
AVIO.MI,Avio,Italy,.MI,IDEM,FTSE MIB,False
AZM.MI,Azimut,Italy,.MI,IDEM,FTSE MIB,False
AZN.ST,AstraZeneca,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
BAMI.MI,Banco BPM,Italy,.MI,IDEM,FTSE MIB,False
BAS.DE,BASF,Germany,.DE,Eurex,"EURO STOXX 50, DAX",False
BAYN.DE,Bayer,Germany,.DE,Eurex,"EURO STOXX 50, DAX",False
BBVA.MC,BBVA,Spain,.MC,MEFF,"EURO STOXX 50, IBEX 35",False
BC.MI,Brunello Cucinelli,Italy,.MI,IDEM,FTSE MIB,False
BEI.DE,Beiersdorf,Germany,.DE,Eurex,DAX,False
BESI.AS,BE Semiconductors,Netherlands,.AS,Euronext,AEX,False
BKT.MC,Bankinter,Spain,.MC,MEFF,IBEX 35,False
BMED.MI,Banca Mediolanum,Italy,.MI,IDEM,FTSE MIB,False
BMPS.MI,Banca Monte dei Paschi di Siena,Italy,.MI,IDEM,FTSE MIB,False
BMW.DE,BMW,Germany,.DE,Eurex,"EURO STOXX 50, DAX",False
BN.PA,Danone,France,.PA,Euronext,"EURO STOXX 50, CAC 40",False
BNP.PA,BNP Paribas,France,.PA,Euronext,"EURO STOXX 50, CAC 40",False
BNR.DE,Brenntag,Germany,.DE,Eurex,DAX,False
BOL.ST,Boliden,Sweden,.ST,Eurex / Nasdaq Nordic,OMX Stockholm 30,False
BPE.MI,BPER Banca,Italy,.MI,IDEM,FTSE MIB,False
BVI.PA,Bureau Veritas,France,.PA,Euronext,CAC 40,False
BZU.MI,Buzzi,Italy,.MI,IDEM,FTSE MIB,False
CA.PA,Carrefour,France,.PA,Euronext,CAC 40,False
CABK.MC,CaixaBank,Spain,.MC,MEFF,IBEX 35,False
CAP.PA,Capgemini,France,.PA,Euronext,CAC 40,False
CBK.DE,Commerzbank,Germany,.DE,Eurex,DAX,False
CFR.SW,Compagnie Financière Richemont SA,Switzerland,.SW,Eurex,SMI,False
CLNX.MC,Cellnex Telecom,Spain,.MC,MEFF,IBEX 35,False
